"","country","games","iso_a3","population","medal_type","medal_winner","medal_total","medals_1","medals_2","medals_3","medals_4","medals_5","medals_1.team","rank_total","p_mean","p_median","p_credlow","p_credhigh","rank_mean","rank_median","rank_credlow","rank_credhigh","rank_mean_beta","rank_median_beta","observed_mpm","estimate_mpm","estimate_mpm_credlow","estimate_mpm_credhigh","rank_pc"
"59","Malawi","paris-2024","MWI",21655000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,59,1.62561822385285e-08,7.08926533405767e-09,1.10330652392946e-09,8.44309086011634e-08,NA,NA,NA,NA,NA,NA,0,0.00708926533405767,0.00110330652392946,0.0844309086011634,149
"60","Maldives","paris-2024","MDV",528000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,60,1.9295174308454e-07,4.68651402940837e-08,1.24867654789728e-09,1.25563393808349e-06,NA,NA,NA,NA,NA,NA,0,0.0468651402940837,0.00124867654789728,1.25563393808349,150
"61","Mali","paris-2024","MLI",24479000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,61,1.54116477199061e-08,6.86165850318331e-09,1.11096611438215e-09,7.86854161789176e-08,NA,NA,NA,NA,NA,NA,0,0.00686165850318331,0.00111096611438215,0.0786854161789176,151
"62","Malta","paris-2024","MLT",540000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,62,1.94586507730795e-07,4.47433730298911e-08,1.28693521490045e-09,1.32003274553774e-06,NA,NA,NA,NA,NA,NA,0,0.0447433730298911,0.00128693521490045,1.32003274553774,152
"63","Marshall Islands","paris-2024","MHL",38000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,63,3.38268771712866e-07,6.59200770328165e-08,1.31662679917162e-09,2.2900313488233e-06,NA,NA,NA,NA,NA,NA,0,0.0659200770328165,0.00131662679917162,2.2900313488233,153
"64","Mauritania","paris-2024","MRT",5169000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,64,5.08209306958674e-08,1.72408393333284e-08,1.17039203827521e-09,2.99245784064798e-07,NA,NA,NA,NA,NA,NA,0,0.0172408393333284,0.00117039203827521,0.299245784064798,154
"65","Mauritius","paris-2024","MUS",1271000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,65,1.26554059572205e-07,3.3024030631572e-08,1.2423852400691e-09,8.12887242028158e-07,NA,NA,NA,NA,NA,NA,0,0.033024030631572,0.0012423852400691,0.812887242028158,155
"66","Federated States of Micronesia","paris-2024","FSM",113000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,66,2.89996376755981e-07,6.39602362981669e-08,1.29634840047169e-09,1.92895681565042e-06,NA,NA,NA,NA,NA,NA,0,0.0639602362981669,0.00129634840047169,1.92895681565042,156
"67","Monaco","paris-2024","MCO",39000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,67,3.04152686623725e-07,6.74103746505776e-08,1.31584103323706e-09,2.03328561974784e-06,NA,NA,NA,NA,NA,NA,0,0.0674103746505775,0.00131584103323706,2.03328561974784,157
"68","Montenegro","paris-2024","MNE",638000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,68,1.79525160276984e-07,4.40010558466953e-08,1.30138096539052e-09,1.15887765352195e-06,NA,NA,NA,NA,NA,NA,0,0.0440010558466953,0.00130138096539052,1.15887765352195,158
